x,y
-4.206715e-05,2.8364953e-05
-4.84382e-05,2.5396177e-05
-3.5732155e-05,1.791554e-05
-3.2318825e-05,1.30993285e-05
-4.2707157e-05,1.6215483e-05
-1.5773123e-05,-8.037915e-06
-2.575954e-05,-1.548253e-05
-5.2531136e-06,-6.0585622e-05
-1.3118e-05,-0.00010234657
-1.0159275e-05,-0.00014773507
-1.3140123e-05,-0.00019452834
-3.3773216e-05,-0.00022912104
-3.905495e-05,-0.0002747272
-7.846461e-05,-0.0003076716
-0.00010326037,-0.00035215257
-0.00014876456,-0.00039843936
-0.00022029404,-0.00046702358
-0.00032576712,-0.0005064532
-0.00044917248,-0.00059322605
-0.0005280897,-0.0006622454
-0.0005985216,-0.0007581384
-0.0007246032,-0.0008427729
-0.0008279042,-0.0009290521
-0.0009068493,-0.001036407
-0.0010196591,-0.001197657
-0.0011057336,-0.0012826634
-0.0012243957,-0.001419819
-0.0013282504,-0.0015629239
-0.0014762945,-0.0017714845
-0.0015555653,-0.0019191696
-0.0016916193,-0.0021020712
-0.0018135441,-0.0022450117
-0.001938331,-0.0024493677
-0.002043339,-0.0026269162
-0.0020989722,-0.0027935635
-0.0022508795,-0.0030824123
-0.0023375428,-0.0033117658
-0.002098801,-0.003863185
-0.0014603334,-0.0041458714
-0.0007110464,-0.0043495465
0.00076613255,-0.00462809
0.0031451723,-0.004921553
0.0067045093,-0.0052370485
0.0113643175,-0.0055433763
0.01833692,-0.0059212176
0.025916142,-0.0062708645
0.039081547,-0.0068066865
0.050691575,-0.0072061173
0.064476654,-0.007652068
0.08392502,-0.008190467
0.10426544,-0.008688747
0.12709518,-0.009188508
0.1497543,-0.009624903
0.184797,-0.010296814
0.22015351,-0.010919878
0.2570344,-0.011544195
0.30015177,-0.012259134
0.33188602,-0.012761378
0.37930676,-0.013494065
0.42866948,-0.014266608
0.4911712,-0.015144797
0.5278112,-0.015670026
0.57439643,-0.01629828
0.64511913,-0.017256359
0.7097687,-0.018090878
0.77347445,-0.018901493
0.8400425,-0.019720715
0.9029513,-0.020483524
0.98616004,-0.021485446
1.0610539,-0.022368131
1.1460556,-0.023370143
1.2292026,-0.024332788
1.3181908,-0.025340926
1.401741,-0.026285732
1.4991573,-0.027385915
1.5939468,-0.02847044
1.6856092,-0.029510437
1.7922741,-0.03072135
1.8893601,-0.03183505
2.0083985,-0.033209804
2.1041784,-0.034334123
2.2192273,-0.03568194
2.3337986,-0.03704156
2.4511693,-0.03844473
2.5680501,-0.039838277
2.698456,-0.041421074
2.8281078,-0.04299671
2.9489057,-0.04447825
3.0883083,-0.046208136
3.2143037,-0.04777164
3.3553715,-0.04954075
3.4696097,-0.050978076
3.6468737,-0.053180918
3.7528527,-0.054508295
3.945341,-0.056915052
4.111247,-0.05900064
4.251572,-0.060800266
4.3934674,-0.06261807
4.571444,-0.06494205
4.749339,-0.067362
4.9406457,-0.070034154
5.052608,-0.071634464
5.228508,-0.07416864
5.3488255,-0.07590435
5.5452023,-0.07875758
5.728111,-0.08145035
5.913478,-0.08419
6.096295,-0.08692912
6.3171253,-0.09018319
6.4544563,-0.09223558
6.685701,-0.09574427
6.8673687,-0.09852138
7.0753064,-0.10171007
7.226145,-0.104050994
7.482632,-0.10804776
7.693121,-0.11137081
7.8811584,-0.11436968
8.109594,-0.11804306
8.308902,-0.121301286
8.523557,-0.12483725
8.734175,-0.12834604
8.960745,-0.13215773
9.19088,-0.13607226
9.396561,-0.13959828
9.562281,-0.14245473
9.869441,-0.14782326
10.025086,-0.15059574
10.282047,-0.15520315
10.535606,-0.15981264
10.74009,-0.16358332
11.014007,-0.16864409
11.297578,-0.17396401
11.546411,-0.17866802
11.805581,-0.18361995
12.059881,-0.1885259
12.301248,-0.19320644
12.568663,-0.1984513
12.8389,-0.20378333
13.112226,-0.2092446
13.380044,-0.21463706
13.6504755,-0.220129
13.931944,-0.22591947
14.216477,-0.23183264
14.495232,-0.2376812
14.776654,-0.24365494
15.0694685,-0.24991195
15.347734,-0.25591967
15.576036,-0.26087537
15.974556,-0.2695687
16.225124,-0.27508423
16.52289,-0.28171197
16.813839,-0.2882326
17.134615,-0.2954891
17.411606,-0.30180782
17.72765,-0.3090748
18.036446,-0.316245
18.337645,-0.32329893
18.649864,-0.3306736
18.887688,-0.3363246
19.231436,-0.34450573
19.547722,-0.35207778
19.865244,-0.35971245
20.212765,-0.3681302
20.541983,-0.3761615
20.775005,-0.38186496
21.154444,-0.39122963
21.495827,-0.39973527
21.749973,-0.40614086
22.17095,-0.41686597
22.465141,-0.42442313
22.789217,-0.43279997
23.094055,-0.44071168
23.379599,-0.4481853
23.813618,-0.45960593
24.050455,-0.46584687
24.485062,-0.4774113
24.752024,-0.48457792
24.979548,-0.49070346
25.385284,-0.5016639
25.731873,-0.51107323
26.03899,-0.51945853
26.35613,-0.5281577
26.693228,-0.5374745
27.050238,-0.5473905
27.357756,-0.55600643
27.69508,-0.56550974
28.04236,-0.5753559
28.30035,-0.5827463
28.756956,-0.59601486
29.164114,-0.6081147
29.352816,-0.61373925
29.581215,-0.62055486
29.948671,-0.6316033
30.296244,-0.6421247
30.614052,-0.6518318
30.951681,-0.66219586
31.279402,-0.67232
31.607132,-0.6825148
31.934849,-0.69281155
32.202957,-0.7012657
32.610073,-0.7141981
32.927826,-0.7243705
33.265434,-0.7352512
33.56333,-0.744907
33.950596,-0.75756115
34.268356,-0.7680038
34.605976,-0.7791487
34.963444,-0.7910214
35.251408,-0.8006195
35.598938,-0.812291
35.837257,-0.8203252
