x,y
-0.0003751218,0.0007157615
0.0030453983,0.019856757
-0.004829608,0.049077198
-0.0020916448,0.016368814
-0.0015235771,0.027464883
-0.0038603335,0.056974124
-0.004830746,0.041018397
-0.0004936225,0.06547613
0.0017347336,0.043933738
-0.0008809641,0.09995189
0.0011538782,0.039602913
0.0018855096,0.062995836
-0.22599824,-0.28092605
-0.054304868,-0.017278135
-0.013706218,0.050757498
-0.00047911704,0.024108583
0.0042833122,0.05802758
0.002282355,0.07713159
-0.0006235461,0.040541105
-0.19806011,-0.2798186
-0.04764901,-0.029685616
-0.006115511,-0.015552053
-0.0030360315,0.02332225
0.0013262453,0.027346866
-0.005842029,0.03560885
-0.1643472,-0.22038338
-0.043051705,-0.04387252
-0.008576678,0.026392855
0.0019900417,0.002233658
-0.0036467053,0.030997045
-0.004531757,0.012177446
-0.008268181,-0.06966545
-0.01812023,-0.016805157
-0.008522071,-0.026771622
-0.016659247,-0.048167974
-0.01833028,-0.020288106
-0.022812946,0.007518675
-0.018423263,-0.04652614
-0.015767364,-0.028450504
-0.015599977,-0.019710746
-0.029669404,-0.032854304
-0.019509459,-0.030038599
-0.015256981,-0.03868013
-0.014734313,-0.037235953
-0.019594502,-0.01639544
-0.022624131,-0.0037989113
-0.02497101,-0.02946764
-0.021338819,-0.03236243
-0.024278173,0.022750508
-0.021008564,-0.039764278
0.043728612,0.046217255
-0.0043691956,-0.02022766
-0.019157946,0.007391181
-0.017489675,-0.046934094
-0.01795251,-0.046497274
-0.028314073,0.027717963
-0.027104393,-0.031788744
-0.028469801,0.008734774
-0.025669064,-0.013615137
-0.026007732,0.0058896616
-0.029511498,-0.002088402
-0.02547677,-0.035768144
-0.021555454,-0.054042064
-0.031458993,-0.033099085
-0.021165662,-0.022567853
-0.023995107,-0.043879747
-0.028098866,-0.030355232
-0.022800611,-0.041906197
-0.025610328,0.00089396536
-0.03306498,0.05123386
-0.038810324,0.033287197
-0.027739914,-0.017548263
-0.023867065,-0.039484344
-0.030174667,-0.00568901
-0.026688028,-0.049135685
-0.02632305,-0.042186644
-0.021956993,0.059106342
-0.030345352,0.034810677
-0.029188983,-0.024641681
-0.030015562,-0.022362512
-0.024791442,-0.033471853
-0.027654856,-0.014178334
-0.031913284,-6.407499e-05
-0.028583854,0.042607103
-0.022877315,-0.031749155
-0.03312365,0.055107646
-0.029410636,-0.004122928
-0.026842138,0.017810699
-0.026185032,-0.022199757
-0.026765738,-0.036585815
-0.024747299,0.013365876
-0.033007044,0.05596219
-0.03420295,0.052770615
-0.025168518,0.011626814
-0.027584689,-0.024079518
-0.09828593,-0.12711437
-0.036970202,-0.036800265
-0.019672476,-0.044001155
0.2358755,0.51725435
0.011516184,0.06476551
-0.02186171,-0.019958857
-0.030527737,0.03617517
-0.025871292,0.007585814
-0.032670375,0.04158391
-0.021873914,-0.023162
-0.054547556,0.015636818
-0.19171494,-0.0090321945
-0.44902846,0.14809918
-0.8422701,-0.9809622
-1.3451898,-0.21058619
-1.5368358,-0.06856972
-1.5332916,-0.021685459
-1.3678818,0.035857875
-0.8763224,-0.092952274
-0.24694842,-0.116242
0.10789806,0.032614566
0.24362454,0.029798618
0.3845122,-0.04140558
0.5093327,-0.040204987
0.62693304,-0.0055338964
0.72234803,-0.015250131
1.0319393,0.028608376
1.117928,-0.024150241
1.2935717,-0.045269668
1.322053,0.0263489
1.3287957,-0.01806308
1.3571942,-0.011619277
1.2410363,-0.23754326
1.3854828,0.00814499
1.4553783,-0.05489295
-0.08261621,-0.09099228
0.28709486,-0.03724486
0.68036616,0.022961505
1.687567,0.13885172
1.7603152,-0.03744228
1.8345207,-0.0017930903
2.044333,-0.05329883
2.0829685,-0.0028516725
2.213848,-0.061848693
2.3875782,-0.014313083
2.4673998,0.01014965
2.4934084,-0.04354419
2.3788576,-0.059148785
1.7449626,-0.0668563
1.0153065,-0.10410831
1.2108487,-0.022669278
1.7595484,-0.02758266
2.430657,-0.050917473
2.8766418,-0.095328204
3.2387946,-0.03802666
3.3895643,-0.0065519735
3.2954323,-0.33471596
2.5527332,-0.019884259
2.0577896,-0.08407506
2.5470686,-0.061001327
3.1220555,-0.033573978
3.565432,-0.04766898
3.9650276,-0.0946985
4.2148533,-0.056750886
4.352742,-0.085305095
4.4672546,-0.087116785
4.4975853,-0.09628795
4.1344457,-0.06895345
3.3116283,-0.081886046
3.3076975,-0.14923468
3.9037347,-0.07922739
4.385045,-0.049154304
4.75588,-0.06284003
5.0551,-0.1430024
5.2099376,-0.0983997
5.3138003,-0.09787043
5.424401,-0.1435698
5.457356,-0.18299064
5.1210256,-0.19306117
4.083647,-0.14949183
4.3998623,-0.125035
5.0572114,-0.12533242
5.577761,-0.14993711
5.947299,-0.080227375
6.210036,-0.13874258
6.0298977,-0.14433026
6.353924,-0.14879234
6.399836,-0.10646056
6.207456,-0.07117627
5.2698045,-0.14860693
5.7981024,-0.07209321
6.2412047,-0.12945242
6.342799,-0.20233524
6.8815074,-0.10171015
7.3902416,-0.060548253
7.426381,-0.12842584
7.452487,-0.15158062
6.5468187,-0.18224342
6.000934,-0.10897258
7.4036436,0.022949211
7.5219026,-0.04121124
7.3034563,-0.22643857
7.9919114,-0.12634408
8.318724,-0.06518839
8.084087,-0.10821146
8.426674,-0.0712159
8.03353,-1.9890345
7.66348,-2.2204366
8.087994,-0.3250481
7.834218,0.41145632
8.008533,1.0450699
8.5527935,1.4229386
8.614705,1.3612797
8.603169,1.541131
8.277374,1.2826989
7.3864384,1.1183683
6.9122005,0.9698033
6.567165,0.9109867
7.078866,0.82492363
7.692519,0.81091166
6.539397,0.7426215
6.068538,0.8484034
5.7593126,0.90369016
5.588371,0.8415055
5.8127465,-0.12583005
6.086042,0.6416318
5.382464,0.84415215
4.693398,0.90437424
4.564926,0.92821807
5.8181267,0.903323
5.2599816,0.8601557
4.0310593,0.96380377
3.6417356,1.00008
3.9580207,0.9351016
4.4196877,0.9038072
3.5712311,0.9961469
2.9565578,0.895682
2.6041355,0.9168309
2.8375216,0.9518291
3.3284135,0.96954954
2.3075058,0.9615214
1.6103215,0.91504484
1.5148273,0.98851144
2.8080904,0.93822557
2.0340505,1.0161269
1.0866785,1.0023558
0.57770467,1.0004886
1.0586405,1.0060233
1.2042443,1.0219424
0.2999019,1.0073717
-0.2862931,0.91391975
-0.49030662,0.73975366
-0.34528363,0.14545
-0.17497447,1.7346035
0.9253652,2.3356857
0.261819,2.4844108
0.508553,2.0739505
1.1780494,2.1135209
1.312731,2.0642056
0.4786899,2.039596
1.2149823,2.0665455
2.0478055,1.9866382
2.344266,2.0320427
2.0452776,2.1237183
3.1861978,2.0083208
3.5301404,2.0062463
2.1128201,2.0166469
3.675612,2.0311944
4.293177,2.0484061
3.1739616,2.0524976
4.3510733,2.0027008
5.161837,2.0203
4.3294544,1.9906769
5.4255137,1.9896934
6.1537476,1.9865632
6.0532246,1.9675872
6.0861244,1.9531661
6.7118826,1.5616386
5.3715973,0.9735635
7.0874877,1.7342422
8.051458,1.984375
8.387509,0.6326319
8.237626,1.9185323
7.022333,2.4821239
7.578084,2.600001
7.23334,2.9234252
6.11944,2.3275042
6.686902,2.1033185
6.34657,2.6695733
5.7801647,2.898941
6.7126856,2.9412608
4.642812,1.8946652
4.6682487,2.7270746
5.567713,2.935158
4.2393537,2.6103213
3.6478055,2.9344783
4.733138,2.9657443
3.4691505,3.0688803
2.7380216,3.098159
3.3779566,3.0017483
2.1613898,3.1177983
1.8297206,3.0490324
1.9421029,3.1062815
0.8989644,3.073181
0.5317268,3.0486767
1.0115886,3.065083
0.020690084,3.0241473
-0.42266572,3.0850973
-0.3988579,2.5174344
-0.19144745,3.806258
0.018719882,4.3806767
-0.5169291,3.9514573
0.78304565,3.8921204
1.0256747,2.8892603
0.92718667,3.8782382
1.2140543,4.0310793
1.98816,4.081018
1.8907322,4.172446
2.5191352,4.112977
3.1622677,4.076426
2.5303156,4.069524
2.7820377,4.03734
3.92021,3.8385892
3.111981,3.735174
3.9368587,4.104142
5.005138,4.084968
4.2950788,4.1694913
4.2375736,3.590408
5.6119595,3.7339845
4.8820252,3.8939395
5.529641,3.4981809
6.5947328,3.7930117
5.6549826,3.7741292
6.8670273,3.7000458
7.6609206,3.9000475
7.9488997,3.0453565
7.033673,4.0577435
7.2820315,4.7462845
6.2178993,4.3920536
6.506176,4.1982174
6.139848,4.8040066
4.784061,4.2590904
5.447602,4.5800815
5.46941,4.9762855
5.1972814,4.801922
5.3911505,5.0593076
4.6195016,5.091201
3.8821936,4.6120777
3.7696037,4.622093
3.423293,4.742562
3.1224425,4.9066834
3.7015357,4.961519
2.6851125,4.94908
1.7928298,3.470478
1.7577146,4.7006726
-0.27233434,4.120927
1.2243022,3.440135
0.897058,3.937404
0.626283,4.532731
0.9677661,4.8353977
0.19912711,5.0496325
-0.109657526,4.5439286
-0.4464846,3.961541
-0.9304929,2.783636
-0.08363414,5.044658
3.7706842,5.0626106
1.5006106,5.4374957
2.2485602,4.3764434
1.0169879,4.8149014
1.2808096,5.3099856
1.9902236,5.48021
2.2369983,5.26596
2.6990952,6.062435
2.963277,6.0565767
3.0622106,5.945001
2.6448581,5.5075574
3.1036553,5.5455947
3.617516,6.047892
2.3941185,5.7857647
3.8806627,5.8207517
4.785999,5.92365
3.256835,6.6047497
4.0237217,5.6888614
5.4385285,5.8085456
4.719777,5.685797
5.9232187,5.738922
5.6404037,5.238146
5.9408064,5.691225
6.9228983,5.67231
7.322181,5.7217965
6.9112425,5.001282
6.8088856,6.133809
7.2812586,6.621706
7.016492,6.770727
5.220494,7.5201907
5.145358,6.5162807
5.4822936,6.7723784
5.9604588,6.0094414
3.685471,5.8688765
3.3691416,6.024463
